datetime,close,open,high,low,trade_type,signals
01-03-2022 23:00,2975.61,2973.37,2979,2950.45,HOLD LONG,0
02-03-2022 00:00,2943.65,2975.61,2981.56,2922.01,HOLD LONG,0
02-03-2022 01:00,2930.8,2943.65,2958.26,2912.96,HOLD LONG,0
02-03-2022 02:00,2947.74,2930.8,2948.93,2913.58,HOLD LONG,0
02-03-2022 03:00,3017.25,2947.75,3028.99,2937.71,HOLD LONG,0
02-03-2022 04:00,2996.87,3017.26,3046.46,2983.67,HOLD LONG,0
02-03-2022 05:00,2999.9,2996.76,3008.71,2974.89,HOLD LONG,0
02-03-2022 06:00,2966.97,2999.87,3002.5,2961.4,HOLD LONG,0
02-03-2022 07:00,2968.43,2966.97,2980.44,2954.07,HOLD LONG,0
02-03-2022 08:00,2977.07,2968.44,3008,2950,HOLD LONG,0
02-03-2022 09:00,2991.79,2977.21,3005.88,2969.61,HOLD LONG,0
02-03-2022 10:00,3006.9,2991.79,3027.33,2985.68,HOLD LONG,0
02-03-2022 11:00,3004.36,3006.94,3009.03,2987.01,HOLD LONG,0
02-03-2022 12:00,2986.62,3004.29,3029.29,2950.4,HOLD LONG,0
02-03-2022 13:00,2943.99,2986.61,2991.25,2925.01,HOLD LONG,0
02-03-2022 14:00,3011.32,2943.99,3030,2940.79,HOLD LONG,0
02-03-2022 15:00,2952.09,3011.39,3035.99,2940.73,HOLD LONG,0
02-03-2022 16:00,2963.2,2952.09,2982.35,2942.52,HOLD LONG,0
02-03-2022 17:00,2944.42,2963.19,2978.67,2943.93,HOLD LONG,0
02-03-2022 18:00,2924.64,2944.42,2962.99,2915.98,HOLD LONG,0
02-03-2022 19:00,2932.9,2924.65,2941.62,2913.51,HOLD LONG,0
02-03-2022 20:00,2947.47,2932.9,2951.2,2928.42,HOLD LONG,0
02-03-2022 21:00,2974.8,2947.48,2978.88,2940,HOLD LONG,0
02-03-2022 22:00,2960.38,2974.8,2988,2955.27,HOLD LONG,0
02-03-2022 23:00,2947.47,2960.37,2968.72,2945.04,HOLD LONG,0
03-03-2022 00:00,2964.94,2947.48,2970,2930.52,HOLD LONG,0
03-03-2022 01:00,2945.88,2964.95,2965.93,2937.05,HOLD LONG,0
03-03-2022 02:00,2931.26,2945.88,2947.69,2916.71,HOLD LONG,0
03-03-2022 03:00,2895.09,2931.12,2934.4,2884.08,HOLD LONG,0
03-03-2022 04:00,2901.49,2895.1,2911.05,2887.07,HOLD LONG,0
03-03-2022 05:00,2898.85,2901.49,2914.05,2894.02,HOLD LONG,0
03-03-2022 06:00,2913.75,2898.84,2915.89,2870,HOLD LONG,0
03-03-2022 07:00,2907.35,2913.87,2920,2898.26,HOLD LONG,0
03-03-2022 08:00,2905.86,2907.35,2917.51,2895.32,HOLD LONG,0
03-03-2022 09:00,2885.29,2905.85,2907.76,2880.94,HOLD LONG,0
03-03-2022 10:00,2911.06,2885.29,2914.92,2877.35,HOLD LONG,0
03-03-2022 11:00,2912.03,2911.06,2934.48,2903.27,HOLD LONG,0
03-03-2022 12:00,2913.74,2912.03,2930.59,2903.55,HOLD LONG,0
03-03-2022 13:00,2929.31,2913.75,2930.67,2909.42,HOLD LONG,0
03-03-2022 14:00,2886.85,2929.31,2934.71,2878.39,HOLD LONG,0
03-03-2022 15:00,2827.56,2886.86,2890.68,2814.64,EXIT LONG,-1
03-03-2022 16:00,2818,2827.57,2840.14,2809.5,NONE,0
03-03-2022 17:00,2819.2,2818,2830,2781.77,NONE,0
03-03-2022 18:00,2816.54,2819.15,2833.97,2810,NONE,0
03-03-2022 19:00,2816.8,2816.53,2823.9,2799.6,NONE,0
03-03-2022 20:00,2803.54,2816.79,2824.11,2793,NONE,0
03-03-2022 21:00,2804.13,2803.78,2814.36,2790,NONE,0
03-03-2022 22:00,2833.12,2804.13,2843.02,2802.7,NONE,0
03-03-2022 23:00,2832.97,2833.11,2848.67,2825.91,NONE,0
04-03-2022 00:00,2733.35,2832.98,2835.9,2718.67,NONE,0
04-03-2022 01:00,2731.67,2733.35,2737.1,2684.8,NONE,0
04-03-2022 02:00,2725.09,2731.67,2736.07,2718.37,NONE,0
04-03-2022 03:00,2724.28,2725.03,2729.45,2710.87,NONE,0
04-03-2022 04:00,2726.95,2724.28,2729.78,2708.7,NONE,0
04-03-2022 05:00,2725.09,2726.95,2732,2715.37,NONE,0
04-03-2022 06:00,2723.69,2725.08,2733.58,2716.87,NONE,0
04-03-2022 07:00,2731.98,2723.69,2733.6,2716.18,NONE,0
04-03-2022 08:00,2743.02,2731.98,2750.69,2703.05,NONE,0
04-03-2022 09:00,2728.62,2743.02,2748,2714.18,NONE,0
04-03-2022 10:00,2740.21,2728.63,2747,2727.2,NONE,0
04-03-2022 11:00,2742.53,2740.2,2759.73,2735,NONE,0
04-03-2022 12:00,2729.46,2742.48,2748.71,2719.01,NONE,0
04-03-2022 13:00,2720.16,2729.47,2754.98,2713.92,NONE,0
04-03-2022 14:00,2704.51,2720.16,2725.26,2640.58,NONE,0
04-03-2022 15:00,2670.85,2704.5,2715.71,2665,NONE,0
04-03-2022 16:00,2674.74,2670.89,2684.38,2648.24,NONE,0
04-03-2022 17:00,2689.19,2674.74,2696.89,2667.38,NONE,0
04-03-2022 18:00,2670.35,2689.26,2697.02,2667.24,NONE,0
04-03-2022 19:00,2616.34,2670.36,2674.55,2608,NONE,0
04-03-2022 20:00,2613.59,2616.36,2628.87,2597.13,NONE,0
04-03-2022 21:00,2607.56,2613.64,2627.08,2602.5,NONE,0
04-03-2022 22:00,2610.08,2607.79,2615.72,2570.65,NONE,0
04-03-2022 23:00,2620.25,2610.09,2622.17,2603.29,NONE,0
05-03-2022 00:00,2593.04,2620.25,2620.9,2592.2,NONE,0
05-03-2022 01:00,2611.62,2593.28,2617.88,2588,NONE,0
05-03-2022 02:00,2608.55,2611.61,2619,2604.75,NONE,0
05-03-2022 03:00,2623.94,2608.54,2628.88,2606.69,NONE,0
05-03-2022 04:00,2616.93,2623.94,2627.44,2608.25,NONE,0
05-03-2022 05:00,2624.56,2617.04,2626.07,2613.72,NONE,0
05-03-2022 06:00,2624.28,2624.64,2633.55,2619.3,NONE,0
05-03-2022 07:00,2636.16,2624.28,2643.78,2620.84,NONE,0
05-03-2022 08:00,2649.21,2636.15,2655.1,2629.13,NONE,0
05-03-2022 09:00,2647.2,2649.21,2656.93,2638.65,NONE,0
05-03-2022 10:00,2646.39,2647.2,2653.34,2630.47,NONE,0
05-03-2022 11:00,2647,2646.38,2654.57,2642.56,NONE,0
05-03-2022 12:00,2651.99,2647,2670,2646.08,NONE,0
05-03-2022 13:00,2635.07,2651.99,2653.09,2629.01,NONE,0
05-03-2022 14:00,2640.56,2635.06,2652.95,2626,NONE,0
05-03-2022 15:00,2642.02,2640.56,2648.36,2635.12,NONE,0
05-03-2022 16:00,2658,2642.01,2684.87,2638.33,NONE,0
05-03-2022 17:00,2665.86,2657.99,2672.1,2655.13,NONE,0
05-03-2022 18:00,2666,2665.86,2668.24,2653.78,NONE,0
05-03-2022 19:00,2668.95,2666,2674.12,2662.03,NONE,0
05-03-2022 20:00,2665.01,2668.96,2679.11,2662.63,NONE,0
05-03-2022 21:00,2653.48,2665.01,2667.41,2650,NONE,0
05-03-2022 22:00,2668.6,2653.47,2669.92,2648.64,NONE,0
05-03-2022 23:00,2663.55,2668.59,2668.92,2655.1,NONE,0
06-03-2022 00:00,2671.8,2663.55,2674.61,2660.14,NONE,0
06-03-2022 01:00,2658.56,2671.6,2672.71,2657.69,NONE,0
06-03-2022 02:00,2661.87,2658.56,2665.32,2651.85,NONE,0
06-03-2022 03:00,2637.8,2661.81,2664,2632.39,NONE,0
06-03-2022 04:00,2645.83,2637.81,2658,2613.88,NONE,0
06-03-2022 05:00,2648.24,2645.82,2657,2644.1,NONE,0
06-03-2022 06:00,2646.11,2648.24,2659.16,2642.36,NONE,0
06-03-2022 07:00,2643.69,2646.1,2649.45,2634.05,NONE,0
06-03-2022 08:00,2634.33,2643.68,2647.03,2631.88,NONE,0
06-03-2022 09:00,2607.34,2634.34,2637.69,2607.34,NONE,0
06-03-2022 10:00,2597.1,2607.34,2610.41,2585.7,NONE,0
06-03-2022 11:00,2607.08,2597.1,2607.98,2588.31,NONE,0
06-03-2022 12:00,2615.01,2607.07,2621,2603.29,NONE,0
06-03-2022 13:00,2637.88,2615,2647.5,2615,NONE,0
06-03-2022 14:00,2625.23,2637.88,2640.15,2620.21,NONE,0
06-03-2022 15:00,2625.99,2625.24,2628.6,2610.75,NONE,0
06-03-2022 16:00,2644.65,2625.98,2656,2618.87,NONE,0
